Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
iris.json;16320;Axel;Schaffland;10;"26.04.2021 10:50";"Sheet 02/iris.json"
party.json;1490;Axel;Schaffland;9;"26.04.2021 10:50";"Sheet 02/party.json"
sheet02.ipynb;36601;Axel;Schaffland;17;"26.04.2021 10:50";"Sheet 02/sheet02.ipynb"
