Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
em_normdistdata.txt;5135;Axel;Schaffland;22;"03.05.2021 09:22";"Sheet 03/em_normdistdata.txt"
sheet03.ipynb;50930;Axel;Schaffland;20;"03.05.2021 09:22";"Sheet 03/sheet03.ipynb"
